image,lon,lat,bird,ground animal,curb,fence,guard rail,barrier,wall,bike lane,crosswalk-plain,curb cut,parking,pedestrian area,rail track,road,service lane,sidewalk,bridge,building,tunnel,person,bicyclist,motorcyclist,other rider,lane marking - crosswalk,lane marking - general,mountain,sand,sky,snow,terrain,vegetation,water,banner,bench,bike rack,billboard,catch basin,CCTV camera,fire hydrant,junction box,mailbox,manhole,phone booth,phthole,street light,pole,traffic sign frame,utility pole,traffic light,traffic sign(back),traffic sign(front),trash can,bicycle,boat,bus,car,caravan,motorcycle,on rails,other vehicle,trailer,truck,wheeled slow,car mount,ego vehicle,unlabeled
121.4480422_31.11129646.jpg,121.4480422,31.11129646,0,0,0.00385427474975586,5.24520874023438e-06,0,0,0.0188169479370117,0,0,0,0,0,0,0.169998168945312,0,0.013484001159668,0,0.0842194557189941,0,0.000399589538574219,7.43865966796875e-05,0.000680446624755859,0,0,0.00793075561523438,0,0,0.346680641174316,0,0,0.0641956329345703,0,0,0,0,0.00188064575195312,9.10758972167969e-05,0,0,0.000486850738525391,0,1.9073486328125e-05,0,0,0.000111103057861328,0.000874996185302734,0,0.00497055053710938,0,3.71932983398438e-05,5.76972961425781e-05,0,1.19209289550781e-05,0,7.20024108886719e-05,0.000822067260742188,0,0.00124597549438477,0,9.5367431640625e-07,0,0.0343055725097656,0.000521183013916016,0,0.244151592254639,false
121.4563938_31.11824469.jpg,121.4563938,31.11824469,0,0,0.0109152793884277,0.0202426910400391,0,0.00671243667602539,0.0229616165161133,0,0,0,0.000371456146240234,0,0,0.103599548339844,0,0.0196866989135742,0,0.0807781219482422,0,0.00230026245117188,0.000131607055664062,0.000202655792236328,0,0.000156879425048828,0.000243186950683594,0,0,0.273322105407715,0,0.000316143035888672,0.156757354736328,0,0.0240621566772461,0.00120449066162109,0,0.00219583511352539,0.000330448150634766,8.58306884765625e-06,0,0.00319194793701172,0,0.00110912322998047,0,0,0.000155448913574219,0.00250101089477539,0,0.00476169586181641,0,1.00135803222656e-05,0.00103473663330078,0.00478124618530273,0.0013127326965332,0,0.000162601470947266,0.00635099411010742,0,0.00175333023071289,0,0,0,6.43730163574219e-05,0,0,0.246311187744141,false
121.4490639_31.11951289.jpg,121.4490639,31.11951289,0,0,0.00732517242431641,0.0172367095947266,0,0,0.018730640411377,0.0030517578125,0,0.000438213348388672,0,8.24928283691406e-05,0,0.120991230010986,0,0.022585391998291,0,0.0109348297119141,0,0.00330877304077148,1.76429748535156e-05,0,0,0.000283718109130859,0.00588607788085938,0,0,0.228314876556396,0,7.00950622558594e-05,0.253769874572754,0,9.5367431640625e-07,0.000137805938720703,0,0.000303745269775391,5.14984130859375e-05,0.000110626220703125,0,0.000802040100097656,0,0.000565052032470703,0,0,0.000116825103759766,0.00316429138183594,0,0.00354146957397461,0.000104427337646484,0.000341892242431641,0.00125885009765625,0.00118684768676758,0.0032353401184082,0,0,0.00491666793823242,0,0.00198173522949219,0,0,0,4.76837158203125e-07,2.05039978027344e-05,0,0.285131454467773,false
121.4440147_31.12135868.jpg,121.4440147,31.12135868,0,0,0.00350284576416016,0.0189552307128906,1.1444091796875e-05,0.000806808471679688,0.0279107093811035,0,0,0.000360488891601562,0.000769615173339844,0,0,0.130937576293945,0,0.00939655303955078,0,0.035637378692627,0,9.72747802734375e-05,2.71797180175781e-05,0.000573158264160156,0,0.000287055969238281,0.00567150115966797,0,0,0.349337100982666,0,0.000555992126464844,0.0914912223815918,0,1.1444091796875e-05,0,0,0.00165891647338867,0,0.000237464904785156,0,0.000533103942871094,5.00679016113281e-05,2.05039978027344e-05,0,0,0.000149250030517578,0.00500679016113281,9.5367431640625e-07,0.00455904006958008,4.33921813964844e-05,0.000140190124511719,0.00649309158325195,0.000777244567871094,2.05039978027344e-05,0,0,0.00760698318481445,0,0.00153017044067383,0,0,0,5.57899475097656e-05,0,0,0.29477596282959,false
121.4584515_31.12278503.jpg,121.4584515,31.12278503,0,0,0.00837182998657227,0.0208277702331543,0,0,0.00716400146484375,0,0,0.000403404235839844,0,0,0,0.0922131538391113,0,0.0330033302307129,0,0.0441274642944336,0,9.5367431640625e-07,0,0.000273227691650391,0,0,1.9073486328125e-06,0,0,0.329115867614746,0,0,0.134982109069824,0,0,0,4.00543212890625e-05,0,0.000308036804199219,0,0,0.00132083892822266,0,0.000155925750732422,0,0,0.000233650207519531,0.00162410736083984,0,0.00481271743774414,0,0,1.57356262207031e-05,0,0.000849246978759766,0,0,0.0266375541687012,0,0.000122547149658203,0,1.62124633789062e-05,0,4.67300415039062e-05,0,0,0.293331623077393,false
121.4565793_31.12077882.jpg,121.4565793,31.12077882,0,0,0.00165176391601562,0.0116300582885742,0.0001068115234375,0,0.00748872756958008,0,0,0,2.86102294921875e-06,0,0,0.0776305198669434,0,0.00110054016113281,0,0.0141959190368652,8.58306884765625e-06,0.000423908233642578,0,0,0,0.000240325927734375,1.43051147460938e-05,0,0,0.23786449432373,0,0.000107288360595703,0.26866626739502,0,0,0,0,1.43051147460938e-06,2.00271606445312e-05,0,0,0,0,0.000435829162597656,0,0,3.67164611816406e-05,0.000521183013916016,0,0,4.05311584472656e-05,0,0.000387668609619141,5.29289245605469e-05,0,0,0,0.0862445831298828,0,0,0,0.00193119049072266,0,0,0,0,0.289195537567139,false
121.4538248_31.12402244.jpg,121.4538248,31.12402244,0,0,0.00150871276855469,0.000440120697021484,0,0,0.00183868408203125,0,0,0,1.19209289550781e-05,0,0,0.142133712768555,0,0.0145053863525391,0.0147066116333008,0.106064796447754,0,0.00186491012573242,4.76837158203125e-05,0,0,0,0.000483512878417969,0,0,0.289912700653076,0,0.000916004180908203,0.10972261428833,0,4.14848327636719e-05,0,0,0.00965404510498047,3.38554382324219e-05,0,0,4.57763671875e-05,0,0.00295066833496094,0.00139665603637695,0.000411510467529297,0.000117301940917969,0.000244617462158203,0,0.00278377532958984,0,0,0.000212669372558594,7.05718994140625e-05,0.00243473052978516,0,0.000124454498291016,0.0527744293212891,0,0.00269985198974609,0,0,0,0.00109291076660156,0,0,0.238753318786621,false
121.4334247_31.1176081.jpg,121.4334247,31.1176081,0,0,0.00576066970825195,0.00786924362182617,0,2.90870666503906e-05,0.00315237045288086,0,0,0.00327014923095703,0,9.67979431152344e-05,0,0.0988950729370117,0,0.0674018859863281,0.000128269195556641,0.0247230529785156,0,0.000422954559326172,0.000112533569335938,1.9073486328125e-06,0,0.000151634216308594,0,2.14576721191406e-05,0,0.401061534881592,0,0.00291681289672852,0.11529541015625,0,0,0.000110149383544922,6.67572021484375e-06,0.00145244598388672,0.00101900100708008,0,0,0.00244045257568359,0,0.00161457061767578,0,0,4.62532043457031e-05,0.00281286239624023,0,0.00679636001586914,4.33921813964844e-05,0,0.000491619110107422,0.000139713287353516,3.814697265625e-05,0,0.00070953369140625,0.00989961624145508,0,0.000537395477294922,0,0,0,0.00134849548339844,0.00377845764160156,0,0.235404014587402,false
121.442969_31.12487632.jpg,121.442969,31.12487632,0,0,0.00965595245361328,0.0510754585266113,0,0.00126886367797852,0.000301837921142578,0,0,3.67164611816406e-05,0,0,0,0.0745458602905273,0,0.0450172424316406,0.403483867645264,0.00157880783081055,0,9.1552734375e-05,0,0.00316715240478516,0,0,0.000399589538574219,0,0,0.0151486396789551,0,0.00221872329711914,0.0870561599731445,0,0,0,0,0,9.5367431640625e-06,0,0,0.000908374786376953,0,0,0,0,0.000141620635986328,0.00176668167114258,0,0.00091552734375,0,0.000114917755126953,0.000771045684814453,0,0,0,2.86102294921875e-06,0.000686168670654297,0,0.00482797622680664,0,1.76429748535156e-05,0,0,1.1444091796875e-05,0,0.294779777526855,false
121.4559337_31.12283403.jpg,121.4559337,31.12283403,0,0,0.00349235534667969,0.000613689422607422,0,0,0.00434350967407227,0,0,0,0,0,0,0.140903949737549,0,0.000836372375488281,0,0.0218014717102051,0,4.14848327636719e-05,0,0,0,0,2.14576721191406e-05,0,0,0.362461566925049,0,0.0330843925476074,0.140772819519043,0,0,4.76837158203125e-07,0,0,0,0,0,0,0,0,0,0,0.000166893005371094,0.000219345092773438,0,0.00227832794189453,0,0,3.19480895996094e-05,0.00480508804321289,0,0,3.814697265625e-06,0.048241138458252,0,4.76837158203125e-07,0,0,0,0,0,0,0.235879421234131,false
