id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B0H2KU8QYD,上海天平宾馆停车场,交通设施服务;停车场;公共停车场,150904,天平路与昭平路交叉口东60米,121.439638,31.197598,,[],[],交通设施,上海市,上海市,徐汇区
B0H6ZUSZ8U,绿地缤纷城徐汇店地下停车场(入口),交通设施服务;停车场;停车场入口,150907,绿地缤纷城徐汇店地下停车场,121.456270,31.182541,,[],[],交通设施,上海市,上海市,徐汇区
B00156CTE7,枫林大楼停车场,交通设施服务;停车场;公共停车场,150904,肇嘉浜路661-665号枫林大楼,121.452636,31.200042,,[],[],交通设施,上海市,上海市,徐汇区
B0FFFZXZO1,斜土路小木桥路地面停车场,交通设施服务;停车场;公共停车场,150904,斜土路小木桥路,121.459254,31.197412,,[],[],交通设施,上海市,上海市,徐汇区
B0GK7AYZ2N,建汇大厦地下停车场(新六百YOUNG停车场),交通设施服务;停车场;公共停车场,150904,衡山路922号建汇大厦(徐家汇地铁站13号口步行140米),121.439185,31.195374,,[],[],交通设施,上海市,上海市,徐汇区
B0H1XR5IZ7,上海衡山路十二号华邑酒店地下停车场,交通设施服务;停车场;公共停车场,150904,衡山路12号上海衡山路十二号华邑酒店,121.445537,31.205225,,[],[],交通设施,上海市,上海市,徐汇区
B0H2KS6T8H,上海市光华中西医结合医院延安西路院区地面停车场,交通设施服务;停车场;公共停车场,150904,延安西路1508号上海市光华中西医结合医院(延安西路院区),121.422325,31.208901,,[],[],交通设施,上海市,上海市,长宁区
B0H6MCG98T,科投大厦停车场,交通设施服务;停车场;公共停车场,150904,建国西路285号科投大厦,121.458998,31.205231,,3.0,[],交通设施,上海市,上海市,徐汇区
B0J0AM3HFY,均瑶国际广场停车场,交通设施服务;停车场;公共停车场,150904,肇嘉浜路789号均瑶国际广场,121.448545,31.197632,,[],[],交通设施,上海市,上海市,徐汇区
B0H6SAXPV8,百联徐汇商业广场地下停车场,交通设施服务;停车场;公共停车场,150904,华山路1988号百联徐汇商业广场,121.436425,31.197790,,[],[],交通设施,上海市,上海市,徐汇区
B0LARA5D5M,上海奥林匹克俱乐部丽笙酒店停车场,交通设施服务;停车场;公共停车场,150904,零陵路797号(上海体育馆地铁站2号口步行130米),121.438815,31.182550,,[],[],交通设施,上海市,上海市,徐汇区
B0FFHJ5VKS,龙之梦大厦地下停车场,交通设施服务;停车场;公共停车场,150904,延安西路1118号龙之梦大厦,121.430123,31.210889,,[],[],交通设施,上海市,上海市,长宁区
B0HA6Z8GRM,华京商务大厦停车场,交通设施服务;停车场;公共停车场,150904,钦州北路188号,121.421267,31.180847,,[],[],交通设施,上海市,上海市,徐汇区
B0G09CPS42,上海平安大厦地下停车场,交通设施服务;停车场;公共停车场,150904,凯滨路206号上海平安大厦,121.456380,31.182540,,[],[],交通设施,上海市,上海市,徐汇区
B0HKXSO4OC,西华酒店地下停车场,交通设施服务;停车场;公共停车场,150904,淮海西路1号西华酒店(交通大学地铁站2号口步行110米),121.435442,31.201692,,[],[],交通设施,上海市,上海市,徐汇区
B0GKUSG1OU,港汇恒隆广场地下停车场(出入口),交通设施服务;停车场;停车场出入口,150909,虹桥路1号港汇恒隆广场B2,121.436277,31.194632,,[],[],交通设施,上海市,上海市,徐汇区
B0IGU94Z54,复旦大学附属肿瘤医院徐汇院区内部地面停车场,交通设施服务;停车场;专用停车场,150905,东安路270号复旦大学附属肿瘤医院(徐汇院区),121.453033,31.190160,,[],[],交通设施,上海市,上海市,徐汇区
B0H13CMYAM,衡山花园酒店停车场,交通设施服务;停车场;公共停车场,150904,衡山路534号上海衡山花园酒店,121.443879,31.202298,,[],[],交通设施,上海市,上海市,徐汇区
B0HGMHY91W,华鼎大厦地下停车场,交通设施服务;停车场;公共停车场,150904,中山西路2240号,121.432070,31.180718,,[],[],交通设施,上海市,上海市,徐汇区
B0H64LK1CM,宏汇国际广场地下停车场,交通设施服务;停车场;公共停车场,150904,中山西路1600-1602号宏汇国际广场,121.421394,31.186383,,[],[],交通设施,上海市,上海市,徐汇区
B0HG1STLWG,华业大厦停车场,交通设施服务;停车场;公共停车场,150904,医学院路69号华业大厦,121.455403,31.199908,,[],[],交通设施,上海市,上海市,徐汇区
B0HA65C0Z9,南丹大楼停车场,交通设施服务;停车场;公共停车场,150904,天钥桥路250弄8号南丹大楼,121.441766,31.190173,,[],[],交通设施,上海市,上海市,徐汇区
B0HGYDXG8F,之俊大厦地面停车场,交通设施服务;停车场;公共停车场,150904,斜土路1221、1223号之俊大厦,121.464315,31.199243,,[],[],交通设施,上海市,上海市,徐汇区
B0HK3HKBVY,锦和越界原力方停车场,交通设施服务;停车场;公共停车场,150904,凯旋路与宜山路交叉口东100米,121.429235,31.185899,,[],[],交通设施,上海市,上海市,徐汇区
B0HD9AY8ZH,ITC2期地下停车场,交通设施服务;停车场;公共停车场,150904,TWO itc(徐家汇地铁站16号口步行220米),121.436636,31.196980,,[],[],交通设施,上海市,上海市,徐汇区
B0HBNZWJOU,尚街Loft停车场,交通设施服务;停车场;公共停车场,150904,嘉善路与肇嘉浜路交叉口西北140米,121.459995,31.204078,,[],[],交通设施,上海市,上海市,徐汇区
B0FFFZKROI,汽联大厦停车场,交通设施服务;停车场;公共停车场,150904,清真路1600号汽联大厦,121.456883,31.198690,,[],[],交通设施,上海市,上海市,徐汇区
B0HGA7Z4ML,五洲国际大厦停车场,交通设施服务;停车场;公共停车场,150904,肇嘉浜路807号五洲国际大厦,121.448017,31.198140,,[],[],交通设施,上海市,上海市,徐汇区
B0HK3HJGUX,上海图书馆南停车场,交通设施服务;停车场;公共停车场,150904,高安路与淮海中路交叉口东南100米,121.443941,31.206588,,[],[],交通设施,上海市,上海市,徐汇区
B0GKA956EM,徐家汇ITC商场地下停车场(出入口),交通设施服务;停车场;停车场出入口,150909,徐家汇ITC商场地下停车场,121.438427,31.197406,,[],[],交通设施,上海市,上海市,徐汇区
B0GKKUY8IW,光启城地下停车场(入口),交通设施服务;停车场;停车场入口,150907,光启城地下停车场(宜山路地铁站8号口步行130米),121.427882,31.183117,,[],[],交通设施,上海市,上海市,徐汇区
B0HG5UBB10,中城国际大厦地下停车场,交通设施服务;停车场;公共停车场,150904,虹桥路500号中城国际大厦,121.428843,31.193223,,[],[],交通设施,上海市,上海市,徐汇区
B0HG5CBBPL,茂名大厦地下停车场,交通设施服务;停车场;公共停车场,150904,永嘉路29-35号茂名大厦,121.463751,31.210731,,[],[],交通设施,上海市,上海市,黄浦区
B0HGZA1RQY,时代大厦地面停车场,交通设施服务;停车场;公共停车场,150904,番禺路390号时代大厦,121.429423,31.204108,,[],[],交通设施,上海市,上海市,长宁区
B0HR957KQY,种德桥路-道路停车位,交通设施服务;停车场;路边停车场,150906,种德桥路与延安西路辅路交叉口南80米,121.420544,31.207965,,[],[],交通设施,上海市,上海市,长宁区
B0FFHUGFX9,金星苑停车场,交通设施服务;停车场;公共停车场,150904,斜土路1636号,121.457264,31.196242,,[],[],交通设施,上海市,上海市,徐汇区
B0FFM8S6ZJ,停车场,交通设施服务;停车场;路边停车场,150906,昭化路80-108号西侧,121.426316,31.212110,,[],[],交通设施,上海市,上海市,长宁区
B0H2G7TKI3,零陵北路-道路停车位,交通设施服务;停车场;路边停车场,150906,大木桥路地铁站1号口步行330米,121.465029,31.196279,,[],[],交通设施,上海市,上海市,徐汇区
